Country / territory of asylum/residence,Year,Month,Value
France,2005,June,1
France,2005,August,4
France,2005,November,3
France,2007,March,1
France,2007,April,5
France,2007,May,1
France,2007,June,1
France,2007,August,1
France,2007,November,1
France,2010,January,1
France,2010,February,1
France,2010,October,3
France,2011,February,1
France,2011,March,1
France,2011,April,5
France,2011,June,4
France,2011,August,1
France,2011,September,2
France,2011,November,2
France,2012,February,2
France,2012,June,3
France,2012,August,3
France,2012,September,1
France,2012,December,2
France,2013,March,2
France,2013,April,1
France,2013,July,2
France,2013,August,1
France,2013,October,1
France,2013,December,5
France,2014,January,0
France,2014,April,0
France,2014,May,0
France,2014,June,0
France,2014,July,6
France,2014,August,0
France,2014,September,0
France,2014,October,0
France,2014,November,0
France,2014,December,0
France,2015,January,0
France,2015,February,0
France,2015,March,0
France,2015,May,0
France,2015,June,8
France,2015,July,0
France,2015,August,0
France,2015,September,0
France,2015,October,15
France,2015,November,5
France,2015,December,0
France,2016,January,4
France,2016,February,3
France,2016,March,4
France,2016,April,17
France,2016,May,16
United Kingdom of Great Britain and Northern Ireland,2001,April,5
United Kingdom of Great Britain and Northern Ireland,2001,October,5
United Kingdom of Great Britain and Northern Ireland,2002,March,1
United Kingdom of Great Britain and Northern Ireland,2002,April,3
United Kingdom of Great Britain and Northern Ireland,2002,May,2
United Kingdom of Great Britain and Northern Ireland,2002,June,3
United Kingdom of Great Britain and Northern Ireland,2002,July,3
United Kingdom of Great Britain and Northern Ireland,2002,September,2
United Kingdom of Great Britain and Northern Ireland,2002,October,1
United Kingdom of Great Britain and Northern Ireland,2002,November,3
United Kingdom of Great Britain and Northern Ireland,2002,December,2
United Kingdom of Great Britain and Northern Ireland,2003,February,3
United Kingdom of Great Britain and Northern Ireland,2003,March,2
United Kingdom of Great Britain and Northern Ireland,2003,April,3
United Kingdom of Great Britain and Northern Ireland,2003,May,2
United Kingdom of Great Britain and Northern Ireland,2003,September,1
United Kingdom of Great Britain and Northern Ireland,2003,October,8
United Kingdom of Great Britain and Northern Ireland,2004,March,1
United Kingdom of Great Britain and Northern Ireland,2004,May,2
United Kingdom of Great Britain and Northern Ireland,2004,July,4
United Kingdom of Great Britain and Northern Ireland,2004,August,1
United Kingdom of Great Britain and Northern Ireland,2004,September,1
United Kingdom of Great Britain and Northern Ireland,2004,December,5
United Kingdom of Great Britain and Northern Ireland,2005,January,5
United Kingdom of Great Britain and Northern Ireland,2005,February,1
United Kingdom of Great Britain and Northern Ireland,2005,March,2
United Kingdom of Great Britain and Northern Ireland,2005,May,1
United Kingdom of Great Britain and Northern Ireland,2005,July,1
United Kingdom of Great Britain and Northern Ireland,2005,September,4
United Kingdom of Great Britain and Northern Ireland,2005,October,1
United Kingdom of Great Britain and Northern Ireland,2005,November,2
United Kingdom of Great Britain and Northern Ireland,2006,January,2
United Kingdom of Great Britain and Northern Ireland,2006,February,2
United Kingdom of Great Britain and Northern Ireland,2006,March,1
United Kingdom of Great Britain and Northern Ireland,2006,April,1
United Kingdom of Great Britain and Northern Ireland,2006,September,2
United Kingdom of Great Britain and Northern Ireland,2006,October,2
United Kingdom of Great Britain and Northern Ireland,2007,January,1
United Kingdom of Great Britain and Northern Ireland,2007,March,3
United Kingdom of Great Britain and Northern Ireland,2007,June,3
United Kingdom of Great Britain and Northern Ireland,2007,August,1
United Kingdom of Great Britain and Northern Ireland,2007,September,1
United Kingdom of Great Britain and Northern Ireland,2009,January,1
United Kingdom of Great Britain and Northern Ireland,2009,March,1
United Kingdom of Great Britain and Northern Ireland,2009,September,4
United Kingdom of Great Britain and Northern Ireland,2010,January,4
United Kingdom of Great Britain and Northern Ireland,2010,February,6
United Kingdom of Great Britain and Northern Ireland,2010,May,1
United Kingdom of Great Britain and Northern Ireland,2010,June,3
United Kingdom of Great Britain and Northern Ireland,2010,July,3
United Kingdom of Great Britain and Northern Ireland,2010,September,3
United Kingdom of Great Britain and Northern Ireland,2010,October,1
United Kingdom of Great Britain and Northern Ireland,2010,November,1
United Kingdom of Great Britain and Northern Ireland,2011,August,1
United Kingdom of Great Britain and Northern Ireland,2011,September,4
United Kingdom of Great Britain and Northern Ireland,2011,October,6
United Kingdom of Great Britain and Northern Ireland,2011,November,3
United Kingdom of Great Britain and Northern Ireland,2012,May,3
United Kingdom of Great Britain and Northern Ireland,2012,August,1
United Kingdom of Great Britain and Northern Ireland,2012,October,1
United Kingdom of Great Britain and Northern Ireland,2012,December,1
United Kingdom of Great Britain and Northern Ireland,2013,April,1
United Kingdom of Great Britain and Northern Ireland,2013,August,2
United Kingdom of Great Britain and Northern Ireland,2013,October,3
United Kingdom of Great Britain and Northern Ireland,2013,November,1
United Kingdom of Great Britain and Northern Ireland,2013,December,3
United Kingdom of Great Britain and Northern Ireland,2014,February,5
United Kingdom of Great Britain and Northern Ireland,2014,March,12
United Kingdom of Great Britain and Northern Ireland,2014,April,5
United Kingdom of Great Britain and Northern Ireland,2014,May,7
United Kingdom of Great Britain and Northern Ireland,2014,June,0
United Kingdom of Great Britain and Northern Ireland,2014,July,0
United Kingdom of Great Britain and Northern Ireland,2014,August,5
United Kingdom of Great Britain and Northern Ireland,2014,September,0
United Kingdom of Great Britain and Northern Ireland,2014,October,0
United Kingdom of Great Britain and Northern Ireland,2014,December,0
United Kingdom of Great Britain and Northern Ireland,2015,January,0
United Kingdom of Great Britain and Northern Ireland,2015,March,0
United Kingdom of Great Britain and Northern Ireland,2015,June,0
United Kingdom of Great Britain and Northern Ireland,2015,August,0
United Kingdom of Great Britain and Northern Ireland,2015,November,0
United Kingdom of Great Britain and Northern Ireland,2016,January,2
United Kingdom of Great Britain and Northern Ireland,2016,April,2
Germany,2002,February,1
Germany,2002,March,1
Germany,2002,July,1
Germany,2002,September,1
Germany,2002,December,1
Germany,2003,February,1
Germany,2003,August,1
Germany,2004,April,1
Germany,2004,October,1
Germany,2006,January,1
Germany,2006,December,1
Germany,2007,February,1
Germany,2007,July,2
Germany,2007,September,2
Germany,2008,July,1
Germany,2008,August,1
Germany,2008,November,1
Germany,2008,December,1
Germany,2009,February,1
Germany,2009,March,1
Germany,2009,December,1
Germany,2010,April,1
Germany,2010,September,1
Germany,2011,May,1
Germany,2011,August,1
Germany,2012,February,1
Germany,2012,July,1
Germany,2012,December,1
Germany,2013,April,1
Germany,2013,May,2
Germany,2013,October,1
Germany,2013,December,4
Germany,2014,March,0
Germany,2014,April,0
Germany,2014,June,0
Germany,2014,August,0
Germany,2014,September,0
Germany,2015,January,0
Germany,2015,February,0
Germany,2015,April,0
Germany,2015,May,7
Germany,2015,June,0
Germany,2015,August,0
Germany,2015,September,0
Germany,2015,October,0
Germany,2016,January,1
Germany,2016,February,3
Germany,2016,March,1
Germany,2016,May,3
Germany,2016,June,2
Greece,2007,December,1
Greece,2008,May,1
Greece,2008,June,1
Greece,2009,April,1
Greece,2009,June,1
Greece,2010,March,1
Greece,2010,November,1
Greece,2013,December,1
Greece,2014,February,0
Greece,2014,May,0
Greece,2015,February,0
Greece,2016,January,1
Greece,2016,March,2
Hungary,2015,May,0
Ireland,2001,November,1
Ireland,2003,June,2
Ireland,2005,May,1
Ireland,2007,February,2
Ireland,2008,June,2
Ireland,2011,July,1
Ireland,2014,March,10
Ireland,2014,April,8
Ireland,2014,June,7
Ireland,2015,March,0
Ireland,2015,April,0
Ireland,2015,July,0
Ireland,2015,October,0
Ireland,2015,December,8
Ireland,2016,January,1
Ireland,2016,February,1
Ireland,2016,March,3
Italy,2010,February,3
Italy,2010,March,1
Italy,2010,April,1
Italy,2010,May,4
Italy,2010,June,1
Italy,2010,July,1
Italy,2010,August,1
Italy,2011,March,3
Italy,2011,July,1
Italy,2011,November,1
Italy,2011,December,4
Italy,2012,May,1
Italy,2012,August,3
Italy,2012,September,5
Italy,2012,November,1
Italy,2013,May,2
Italy,2013,September,2
Italy,2013,October,1
Italy,2013,November,4
Italy,2013,December,4
Italy,2014,January,0
Italy,2014,February,0
Italy,2014,March,0
Italy,2014,April,0
Italy,2014,May,0
Italy,2014,July,0
Italy,2014,August,0
Italy,2014,September,0
Italy,2014,October,0
Italy,2014,November,0
Italy,2014,December,0
Italy,2015,January,0
Italy,2015,February,0
Italy,2015,March,0
Italy,2015,April,0
Italy,2015,May,0
Italy,2015,June,0
Italy,2015,July,7
Italy,2015,August,0
Italy,2015,September,12
Italy,2015,October,0
Italy,2015,November,0
Italy,2015,December,0
Italy,2016,January,4
Italy,2016,February,20
Italy,2016,March,9
Italy,2016,April,8
Italy,2016,May,4
Rep. of Korea,2015,July,0
Liechtenstein,2008,December,1
Luxembourg,2005,November,1
Luxembourg,2010,January,1
Malta,2015,February,0
Malta,2015,May,5
Malta,2015,July,0
Malta,2015,October,0
Malta,2015,December,0
Malta,2016,February,2
Malta,2016,April,1
Malta,2016,May,2
Netherlands,1999,February,1
Netherlands,1999,August,1
Netherlands,2000,December,1
Netherlands,2001,March,1
Netherlands,2001,May,1
Netherlands,2003,February,1
Netherlands,2003,July,1
Netherlands,2003,August,1
Netherlands,2004,May,1
Netherlands,2004,November,1
Netherlands,2005,January,1
Netherlands,2006,January,1
Netherlands,2006,November,1
Netherlands,2008,June,1
Netherlands,2008,November,1
Netherlands,2009,January,1
Netherlands,2009,June,2
Netherlands,2009,July,1
Netherlands,2009,September,1
Netherlands,2009,October,1
Netherlands,2010,January,2
Netherlands,2010,March,1
Netherlands,2010,April,1
Netherlands,2010,May,1
Netherlands,2010,November,1
Netherlands,2013,March,1
Netherlands,2013,May,1
Netherlands,2013,July,2
Netherlands,2014,April,0
Netherlands,2014,June,0
Netherlands,2015,March,0
Netherlands,2015,June,0
Netherlands,2015,October,0
Norway,2004,June,1
Norway,2005,October,5
Norway,2006,March,1
Norway,2009,November,2
Norway,2010,April,1
Norway,2014,February,0
Norway,2014,June,0
Norway,2014,July,0
Norway,2014,September,0
Norway,2016,June,1
Poland,2007,May,1
Portugal,2005,November,1
Portugal,2007,June,1
Portugal,2007,August,1
Portugal,2014,May,0
Portugal,2014,August,0
Portugal,2015,May,0
Portugal,2015,July,0
Portugal,2016,February,1
Romania,2005,June,1
Romania,2007,June,1
Romania,2009,March,1
Romania,2012,August,1
Romania,2016,June,1
Spain,1999,April,1
Spain,1999,June,1
Spain,1999,October,1
Spain,2000,January,3
Spain,2000,August,1
Spain,2002,July,1
Spain,2002,September,1
Spain,2002,October,1
Spain,2002,November,1
Spain,2003,January,1
Spain,2003,February,1
Spain,2003,April,2
Spain,2003,May,10
Spain,2003,June,1
Spain,2003,July,1
Spain,2003,September,5
Spain,2003,October,3
Spain,2003,November,1
Spain,2003,December,6
Spain,2004,January,5
Spain,2004,February,2
Spain,2004,March,4
Spain,2004,April,1
Spain,2004,May,3
Spain,2004,June,3
Spain,2004,August,2
Spain,2004,September,4
Spain,2004,October,3
Spain,2004,November,1
Spain,2004,December,2
Spain,2005,January,1
Spain,2005,February,4
Spain,2005,March,2
Spain,2005,April,3
Spain,2005,May,3
Spain,2005,June,1
Spain,2005,July,2
Spain,2005,October,2
Spain,2005,November,1
Spain,2005,December,3
Spain,2006,February,2
Spain,2006,March,2
Spain,2006,May,1
Spain,2006,July,7
Spain,2006,September,3
Spain,2006,October,1
Spain,2006,November,2
Spain,2006,December,2
Spain,2007,January,10
Spain,2007,February,2
Spain,2007,March,8
Spain,2007,May,3
Spain,2007,June,6
Spain,2007,July,1
Spain,2007,August,4
Spain,2007,October,2
Spain,2007,November,3
Spain,2007,December,2
Spain,2008,January,8
Spain,2008,February,9
Spain,2008,March,2
Spain,2008,April,5
Spain,2008,May,4
Spain,2008,June,3
Spain,2008,July,3
Spain,2008,August,1
Spain,2008,September,1
Spain,2008,October,4
Spain,2008,November,6
Spain,2008,December,2
Spain,2009,January,2
Spain,2009,March,9
Spain,2009,June,3
Spain,2009,July,1
Spain,2009,August,1
Spain,2009,September,6
Spain,2009,October,2
Spain,2009,November,4
Spain,2009,December,1
Spain,2010,January,1
Spain,2010,February,1
Spain,2010,March,3
Spain,2010,April,5
Spain,2010,May,4
Spain,2010,August,1
Spain,2010,September,1
Spain,2010,October,2
Spain,2010,November,1
Spain,2011,January,6
Spain,2011,February,11
Spain,2011,March,4
Spain,2011,April,3
Spain,2011,May,1
Spain,2011,June,1
Spain,2011,July,4
Spain,2011,August,2
Spain,2011,September,3
Spain,2011,October,8
Spain,2011,November,5
Spain,2011,December,4
Spain,2012,January,2
Spain,2012,March,2
Spain,2012,April,5
Spain,2012,May,1
Spain,2012,June,1
Spain,2012,July,1
Spain,2012,August,1
Spain,2012,September,3
Spain,2012,October,2
Spain,2012,November,8
Spain,2012,December,2
Spain,2013,January,4
Spain,2013,February,4
Spain,2013,March,2
Spain,2013,April,1
Spain,2013,May,1
Spain,2013,June,7
Spain,2013,July,3
Spain,2013,September,2
Spain,2013,October,1
Spain,2013,November,1
Spain,2013,December,9
Spain,2014,February,0
Spain,2014,March,23
Spain,2014,April,12
Spain,2014,May,11
Spain,2014,June,9
Spain,2014,July,7
Spain,2014,August,8
Spain,2014,September,9
Spain,2014,October,22
Spain,2014,November,14
Spain,2014,December,7
Spain,2015,January,18
Spain,2015,February,21
Spain,2015,March,19
Spain,2015,April,26
Spain,2015,May,19
Spain,2015,June,41
Spain,2015,July,32
Spain,2015,August,35
Spain,2015,September,37
Spain,2015,October,68
Spain,2015,November,113
Spain,2015,December,86
Spain,2016,January,128
Spain,2016,February,129
Spain,2016,March,153
Spain,2016,April,258
Spain,2016,May,250
Slovenia,2003,February,1
Sweden,1999,July,3
Sweden,2000,March,1
Sweden,2000,April,1
Sweden,2000,August,1
Sweden,2000,October,2
Sweden,2002,January,2
Sweden,2002,February,2
Sweden,2002,April,6
Sweden,2002,September,1
Sweden,2002,December,1
Sweden,2003,January,1
Sweden,2003,February,1
Sweden,2003,March,1
Sweden,2003,April,1
Sweden,2003,June,1
Sweden,2003,September,1
Sweden,2003,October,6
Sweden,2004,January,5
Sweden,2004,June,1
Sweden,2004,August,1
Sweden,2004,September,1
Sweden,2005,June,3
Sweden,2006,January,3
Sweden,2006,February,2
Sweden,2006,September,1
Sweden,2006,November,1
Sweden,2006,December,1
Sweden,2007,May,3
Sweden,2007,June,2
Sweden,2007,October,1
Sweden,2007,November,1
Sweden,2007,December,1
Sweden,2008,February,2
Sweden,2008,May,1
Sweden,2008,June,1
Sweden,2008,July,2
Sweden,2008,September,1
Sweden,2008,October,1
Sweden,2008,December,1
Sweden,2009,January,3
Sweden,2009,February,1
Sweden,2009,March,1
Sweden,2009,April,1
Sweden,2009,June,2
Sweden,2010,February,4
Sweden,2010,March,1
Sweden,2010,June,1
Sweden,2010,August,1
Sweden,2010,November,1
Sweden,2010,December,2
Sweden,2011,January,1
Sweden,2011,June,2
Sweden,2011,August,1
Sweden,2011,November,1
Sweden,2012,April,1
Sweden,2012,October,4
Sweden,2012,November,1
Sweden,2012,December,6
Sweden,2013,January,4
Sweden,2013,February,1
Sweden,2013,April,2
Sweden,2013,July,1
Sweden,2013,August,2
Sweden,2013,September,1
Sweden,2013,November,2
Sweden,2014,January,0
Sweden,2014,February,0
Sweden,2014,March,0
Sweden,2014,April,6
Sweden,2014,May,0
Sweden,2014,June,7
Sweden,2014,July,15
Sweden,2014,August,0
Sweden,2014,September,0
Sweden,2014,October,0
Sweden,2014,November,0
Sweden,2014,December,0
Sweden,2015,January,0
Sweden,2015,February,0
Sweden,2015,March,0
Sweden,2015,April,0
Sweden,2015,May,0
Sweden,2015,June,0
Sweden,2015,July,0
Sweden,2015,August,0
Sweden,2015,September,0
Sweden,2015,October,0
Sweden,2015,November,6
Sweden,2015,December,0
Sweden,2016,January,1
Sweden,2016,February,2
Sweden,2016,April,3
Sweden,2016,May,5
Sweden,2016,June,9
Switzerland,2000,July,3
Switzerland,2007,April,1
Switzerland,2011,December,2
Switzerland,2012,January,1
Switzerland,2013,July,1
Switzerland,2013,September,1
Switzerland,2013,December,1
Switzerland,2014,August,0
Switzerland,2015,May,0
USA (INS/DHS),2000,March,8
USA (INS/DHS),2000,September,7
USA (INS/DHS),2000,October,9
USA (INS/DHS),2001,January,11
USA (INS/DHS),2001,July,14
USA (INS/DHS),2001,September,15
USA (INS/DHS),2001,November,9
USA (INS/DHS),2001,December,13
USA (INS/DHS),2002,January,15
USA (INS/DHS),2002,February,10
USA (INS/DHS),2002,March,11
USA (INS/DHS),2002,April,16
USA (INS/DHS),2002,May,36
USA (INS/DHS),2002,June,40
USA (INS/DHS),2002,July,31
USA (INS/DHS),2002,August,41
USA (INS/DHS),2002,September,22
USA (INS/DHS),2002,October,31
USA (INS/DHS),2002,November,35
USA (INS/DHS),2002,December,41
USA (INS/DHS),2003,January,47
USA (INS/DHS),2003,February,41
USA (INS/DHS),2003,March,92
USA (INS/DHS),2003,April,98
USA (INS/DHS),2003,May,91
USA (INS/DHS),2003,June,88
USA (INS/DHS),2003,July,101
USA (INS/DHS),2003,August,108
USA (INS/DHS),2003,September,118
USA (INS/DHS),2003,October,132
USA (INS/DHS),2003,November,112
USA (INS/DHS),2003,December,144
USA (INS/DHS),2004,January,93
USA (INS/DHS),2004,February,97
USA (INS/DHS),2004,March,127
USA (INS/DHS),2004,April,114
USA (INS/DHS),2004,May,115
USA (INS/DHS),2004,June,132
USA (INS/DHS),2004,July,129
USA (INS/DHS),2004,August,111
USA (INS/DHS),2004,September,85
USA (INS/DHS),2004,October,110
USA (INS/DHS),2004,November,124
USA (INS/DHS),2004,December,115
USA (INS/DHS),2005,January,103
USA (INS/DHS),2005,February,89
USA (INS/DHS),2005,March,130
USA (INS/DHS),2005,April,88
USA (INS/DHS),2005,May,92
USA (INS/DHS),2005,June,104
USA (INS/DHS),2005,July,50
USA (INS/DHS),2005,August,84
USA (INS/DHS),2005,September,65
USA (INS/DHS),2005,October,63
USA (INS/DHS),2005,November,76
USA (INS/DHS),2005,December,90
USA (INS/DHS),2006,January,56
USA (INS/DHS),2006,February,81
USA (INS/DHS),2006,March,83
USA (INS/DHS),2006,April,60
USA (INS/DHS),2006,May,87
USA (INS/DHS),2006,June,71
USA (INS/DHS),2006,July,70
USA (INS/DHS),2006,August,75
USA (INS/DHS),2006,September,49
USA (INS/DHS),2006,October,63
USA (INS/DHS),2006,November,56
USA (INS/DHS),2006,December,50
USA (INS/DHS),2007,January,51
USA (INS/DHS),2007,February,53
USA (INS/DHS),2007,March,47
USA (INS/DHS),2007,April,47
USA (INS/DHS),2007,May,49
USA (INS/DHS),2007,June,47
USA (INS/DHS),2007,July,54
USA (INS/DHS),2007,August,74
USA (INS/DHS),2007,September,49
USA (INS/DHS),2007,October,61
USA (INS/DHS),2007,November,58
USA (INS/DHS),2007,December,43
USA (INS/DHS),2008,January,64
USA (INS/DHS),2008,February,60
USA (INS/DHS),2008,March,45
USA (INS/DHS),2008,April,50
USA (INS/DHS),2008,May,52
USA (INS/DHS),2008,June,38
USA (INS/DHS),2008,July,43
USA (INS/DHS),2008,August,29
USA (INS/DHS),2008,September,38
USA (INS/DHS),2008,October,29
USA (INS/DHS),2008,November,34
USA (INS/DHS),2008,December,24
USA (INS/DHS),2009,January,14
USA (INS/DHS),2009,February,32
USA (INS/DHS),2009,March,24
USA (INS/DHS),2009,April,25
USA (INS/DHS),2009,May,29
USA (INS/DHS),2009,June,26
USA (INS/DHS),2009,July,23
USA (INS/DHS),2009,August,22
USA (INS/DHS),2009,September,29
USA (INS/DHS),2009,October,22
USA (INS/DHS),2009,November,30
USA (INS/DHS),2009,December,22
USA (INS/DHS),2010,January,26
USA (INS/DHS),2010,February,25
USA (INS/DHS),2010,March,30
USA (INS/DHS),2010,April,46
USA (INS/DHS),2010,May,51
USA (INS/DHS),2010,June,60
USA (INS/DHS),2010,July,48
USA (INS/DHS),2010,August,64
USA (INS/DHS),2010,September,41
USA (INS/DHS),2010,October,47
USA (INS/DHS),2010,November,67
USA (INS/DHS),2010,December,61
USA (INS/DHS),2011,January,48
USA (INS/DHS),2011,February,41
USA (INS/DHS),2011,March,66
USA (INS/DHS),2011,April,43
USA (INS/DHS),2011,May,54
USA (INS/DHS),2011,June,68
USA (INS/DHS),2011,July,48
USA (INS/DHS),2011,August,71
USA (INS/DHS),2011,September,49
USA (INS/DHS),2011,October,47
USA (INS/DHS),2011,November,52
USA (INS/DHS),2011,December,50
USA (INS/DHS),2012,January,49
USA (INS/DHS),2012,February,35
USA (INS/DHS),2012,March,52
USA (INS/DHS),2012,April,61
USA (INS/DHS),2012,May,54
USA (INS/DHS),2012,June,42
USA (INS/DHS),2012,July,49
USA (INS/DHS),2012,August,50
USA (INS/DHS),2012,September,49
USA (INS/DHS),2012,October,74
USA (INS/DHS),2012,November,53
USA (INS/DHS),2012,December,44
USA (INS/DHS),2013,January,52
USA (INS/DHS),2013,February,55
USA (INS/DHS),2013,March,52
USA (INS/DHS),2013,April,73
USA (INS/DHS),2013,May,70
USA (INS/DHS),2013,June,76
USA (INS/DHS),2013,July,74
USA (INS/DHS),2013,August,83
USA (INS/DHS),2013,September,76
USA (INS/DHS),2013,October,90
USA (INS/DHS),2013,November,66
USA (INS/DHS),2013,December,88
USA (INS/DHS),2014,January,87
USA (INS/DHS),2014,February,92
USA (INS/DHS),2014,March,185
USA (INS/DHS),2014,April,232
USA (INS/DHS),2014,May,218
USA (INS/DHS),2014,June,237
USA (INS/DHS),2014,July,264
USA (INS/DHS),2014,August,281
USA (INS/DHS),2014,September,335
USA (INS/DHS),2014,October,363
USA (INS/DHS),2014,November,337
USA (INS/DHS),2014,December,395
USA (INS/DHS),2015,January,336
USA (INS/DHS),2015,February,317
USA (INS/DHS),2015,March,514
USA (INS/DHS),2015,April,492
USA (INS/DHS),2015,May,466
USA (INS/DHS),2015,June,590
