ADDRESS,DONATIONS AND GRANTS,FEES,OTHER EXPENSES AND CONSULTANCY,REGISTRATION FEES,SPONSORSHIPS,TRAVEL AND ACCOMMODATION,FULLNAME
"Rue-Gabrielle-Perret-Gentil 4 Case postale, Geneva 14",0,0,0,0,15816,0, Geneva University Hospital
"Chemin de la Mousse 46, Chêne-Bourg",0,0,0,0,2808,0, Groupe Médicine & Hygiène
"Casella postale 823, Giubiasco",0,0,0,0,3300,0, Gruppo Medico Formazione
"Chemin des Pensionnats 2-6, Fribourg",0,0,0,0,2000,0, HFR Fribourg - Hôpital cantonal
"Route de Cery, Prilly",0,0,0,0,3780,0, Hôpital de Cery
"Av. du Grand Champsec 86, Sion",0,0,0,0,3056,0, Hôpital du Valais
"Rue de Lausanne 67, Genève",0,0,0,0,4268,0, Hôpitaux Universitaires de Genève
"70C Rue Grand-Pré, Genève",0,0,0,0,6780,0, Hôpitaux Universitaires de Genève - HUG
"Chemin du Petit-Bel-Air 2, Chêne-Bourg",0,1400,97,0,0,0, Hôpitaux Universitaires de Genève (HUG)
"CAPPI Eaux-Vives Rue du 31 Décembre 6-8, Genève",0,1400,176,0,0,0, Hôpitaux Universitaires de Genève HUG
"Wieshofstrasse 102 Postfach 144, Winterthur",0,1500,0,0,0,0, Integrierte Psychiatrie Winterthur
"Universitäre Psych. Dienste Bern Zieglerstrasse 7, Bern",0,0,0,0,3800,0, Integrierter Drogendienst IDD
"Niederlenzer Kirchweg 3, Lenzburg",0,0,0,0,3400,0, Intervisionsgruppe Dr. Fritz Ramseier
"Postfach 144, Winterthur",0,0,0,0,2000,0, IPW - Zürcher Unterland
"Tellstrasse, Aarau",0,0,0,0,3000,0, Kantonsspital Aarau
"Rorschacherstrasse 95, St. Gallen",0,0,0,0,1620,0, Kantonsspital St. Gallen Klinik für Psychosomatik
"Landhausweg 26, Bern",0,0,0,0,3056,0, Kollegium für Hausarztmedizin KHM/CMPR
"Case postale 90, Marsens",0,0,0,0,3184,0, Le Réseau fribourgeois de santé mentale (RFSM)
"Areal Kantonsspital 11, Luzern 16",0,0,0,0,1500,0, Luzerner Psychiatrie Klinik St. Urban
"Löwengraben 20, Luzern",0,0,0,0,464,0, Luzerner Psychiatrie Psychiatrisches Ambulatorium A
"Route des Lentillères 6, Ravoire",0,500,0,0,0,0, Magnolias Sàrl
"Conseil Général 11, Genève",0,0,0,0,2000,0, Médecins de Famille Genève / Assocation genevoise des médecins internists et généralistes
Läufelfingen,0,0,0,0,10000,0, Notfallkreis Sissach/Gelterkinden
"Stabile Qi Via Cantonale, Mezzovico",0,0,0,0,1600,0, Ordine dei Medici del Cantone Ticino
St. Gallen,0,0,0,0,500,0, Ostschweizerische Gesellschaft für Psychiatrie und Kinder- und Jugendpsychiatrie
"Flurstrasse 12, Mels",0,0,0,0,15000,0, Pizolcare Förderverein
"Postfach 555, Meilen",0,0,0,0,3000,0, Privatklinik Hohenegg
"Leopoldstrasse 5, Solothurn",0,0,0,0,4320,0, Privatklinik Obach AG
"Hochfeldstrasse 41, Bern",0,0,0,0,1500,0, PSOMA Board
"Bienentalstrasse 7, Liestal",0,0,0,0,5500,0, Psychiatrie Baselland Klinik für Psychiatrie & Psychotherpie
"Hunzigenallee 1, Münsingen",0,0,0,0,665,0, Psychiatriezentrum Münsingen PZM
"Zürcherstrasse 241, Windisch",0,0,0,0,167,0, Psychiatrische Dienste Aargau (PDAG)
"Zentrum Psychiatrie und Psychotherapie ambulant Ambulatorium Baden Haselstrasse 1, Baden",0,0,0,0,1000,0, Psychiatrische Dienste Aargau AG
"Lenggstrasse 31 Postfach 1931, Zürich",0,0,0,0,818,0, Psychiatrische Universitätsklinik Zürich (PUK)
"Psychiatrisches Zentrum Herisau Postfach, Herisau",0,0,0,0,1080,0, Psychiatrisches Zentrum Herisau
"Case postale 299, Crans-Montana",0,0,0,0,9100,0, Quadrimed
"Salinenstrasse 98, Rheinfelden",0,0,0,0,1500,0, Reha Rheinfelden
"Association genevoise de médecins travaillant en Réseau Conseil Général 11, Genève",0,0,0,0,4000,0, REMED
"Röschstrasse 18, St. Gallen",0,0,0,0,6264,0, Schweizerische Ärztegesellschaft für Manuelle Medizin (SAMM)
"Monbijoustrasse 35 Postfach 6432, Bern",0,0,0,0,4992,0, Schweizerischer Verband Medizinischer Praxis Assistentinnen
"Schöngrünstrasse 29, Solothurn",0,0,0,0,300,0, Schweizerischer Verband Medizinischer Praxis Assistentinnen / Sektion Solothurn
"Asylstrasse 19, Horgen",0,0,0,0,1350,0, See-Spital Standort Horgen
"Alte Landstrasse 70, Kilchberg",0,0,0,0,5000,0, SGAMSP Sanatorium Kilchberg
"Solothurnerstrasse 68 Postfach, Basel",0,0,0,0,44550,0, SGIM - Schweizerische Gesellschaft für Algemeine Innere Medizin
"Altenbergstrasse 29, Bern",24570,0,0,0,0,0, SGPP - Schweizerische Gesellschaft für Psychiatrie und Psychotherapie
Mezzovico,0,0,0,0,500,0, Società Ultrasonologia Medica Svizzera Italiana
"Case postale 249 Grand-Rue 36bis, Couvet",0,0,0,0,3500,0, Société neuchâteloise de médecine (SNM)
"Kliniken für Psychiatrie Psychotherapie und Psychosomatik Weissensteinstrasse 102, Solothurn",0,0,0,0,5543,0, Solothurner Spitäler AG
St. Moritz,0,0,0,0,1000,0, St. Moritzer Ärztegesellschaft
Zürich,0,0,0,0,7500,0, Stiftung für Parkinsonforschung
Bern,0,0,0,0,1000,0, Swiss Expert Network on Burnout
"Murtenstrasse 21, Bern 10",0,0,0,0,14440,0, Universitäre Psychiatrische Dienste Bern (UPD)
"Wilhelm Klein-Strasse 27, Basel",0,0,0,0,3185,0, Universitäre Psychiatrische Kliniken Basel (UPK)
"Hebelstrasse 2, Basel",0,0,0,0,1620,0, Universitätsspital Basel
"Culmannstrasse 8, Zürich",0,0,0,0,3500,0, Universitätsspital Zürich / Klinik für Psychiatrie und Psychotherapie
"Petersgraben 35, Basel",0,0,0,0,6000,0, Universitätsvermögen
"Rue Michel-Servet 1, Genève",0,450,0,0,0,0, Université de Genève
"Wilfriedstrasse 7, Zürich",0,0,0,0,12528,0, Verein Lunge Zürich
"Selnaustrasse 9, Zürich",0,0,0,0,2160,0, Zentrum für Abhängigkeitserkrankungen
